|title|id|Action|Casual|Indie|Simulation|Strategy|Free to Play|RPG|Sports|Adventure|Racing|Early Access|Massively Multiplayer|Animation &amp; Modeling|Video Production|Utilities|Web Publishing|Education|Software Training|Design &amp; Illustration|Audio Production|Photo Editing|Accounting
90248|Rocksmith® 2014 – The Doors - “Riders on the Storm”|271446.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90249|Rocksmith® 2014 – The Doors - “Roadhouse Blues”|271447.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90250|Rocksmith® 2014 – The Doors Song Pack|271448.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90251|PAC-MAN MUSEUM Demo|255760.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90252|Epic Battle Fantasy 4|265610.0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90253|Ultionus: A Tale of Petty Revenge|279160.0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90254|Assassin's Creed Freedom Cry|277590.0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90255|Castlevania: Lords of Shadow 2|239250.0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90256|Talisman - Character Pack #1 - Exorcist|258813.0|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90257|Talisman: Digital Edition|247000.0|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90258|Windforge|266170.0|1|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90259|Galactic Command Echo Squad SE - Demo|285690.0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90260|PAC-MAN MUSEUM™ - Ms. PAC-MAN™ DLC|255750.0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90261|Towtruck Simulator 2015|273760.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90262|Cities in Motion 2: European Cities|283530.0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90263|Talisman - Complete Runestone Deck|258812.0|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90264|Dominique Pamplemousse|270310.0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90265|Rocksmith® 2014 – Heart - “Crazy On You”|271455.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90266|Rocksmith® 2014 – Halestorm - “Love Bites (So Do I)”|271456.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90267|Dominique Pamplemousse: Soundtrack &amp; Sheet Music|285550.0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90268|Eets Munchies|214550.0|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90269|1954 Alcatraz|255280.0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90270|TowerFall Ascension|251470.0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90271|Rocksmith® 2014 – Flyleaf - “All Around Me”|271457.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90272|Dark Shadows - Army of Evil|280640.0|1|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90273|Constant C|251510.0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90274|Space Hulk - Space Wolves Chapter|274430.0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90275|C9: Premium Package|256230.0|1|0|0|0|0|1|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
90276|ComiPo! Casual Wear|283550.0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0
90277|ComiPo! Swim Wear|283551.0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0
90278|C9: Steam Beginners Package|284700.0|1|0|0|0|0|1|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
90279|ComiPo! Summer Uniform &amp; Sportswear|283552.0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0
90280|Batch Converter Plugin|281100.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
90281|Braveland|285800.0|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90282|LYNE|266010.0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90283|Alpha Kimori™ 1|265870.0|0|1|1|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90284|Deus Ex: The Fall|258180.0|1|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90285|LUFTRAUSERS|233150.0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90286|Ku: Shroud of the Morrigan|270330.0|1|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90287|Danmaku Unlimited 2|280560.0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90288|Rocksmith® 2014 – A Day To Remember - “All I Want”|271460.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90289|BioShock Infinite: Burial at Sea - Episode Two|214932.0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90290|Rocksmith® 2014 – A Day To Remember - “It’s Complicated”|271458.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90291|Rocksmith® 2014 – A Day To Remember - “The Downfall of Us All”|271459.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90292|Train Simulator: DB BR 145 Loco Add-On|222639.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90293|Cloudbuilt|262390.0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90294|Influent|274980.0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90295|Influent DLC - Deutsch [Learn German]|286970.0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90296|Influent DLC - 한국어 [Learn Korean]|286971.0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90297|Influent DLC - Latina [Learn Latin]|286972.0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90298|Influent DLC - български [Learn Bulgarian]|286960.0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90299|Influent DLC - Español [Learn Spanish]|286964.0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90300|Influent DLC - 普通话 [Learn Mandarin Chinese]|286961.0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90301|Influent DLC - English [Learn English]|286962.0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90302|Influent DLC - 日本語 [Learn Japanese]|286966.0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90303|Influent DLC - Français [Learn French]|286963.0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90304|Influent DLC - Svenska [Learn Swedish]|286965.0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90305|Heroine's Quest: The Herald of Ragnarok|283880.0|0|0|1|0|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90306|Anmynor Puzzles|275330.0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90307|D.W.A.R.F.S.|281560.0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90308|My Pet Hotel|276380.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90309|Castlevania: Lords of Shadow 2 - Armored Dracula Costume|273150.0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90310|Castlevania: Lords of Shadow 2 - Dark Dracula Costume|273151.0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90311|Castlevania: Lords of Shadow 2 - Relic Rune Pack|273152.0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90312|Rocksmith® 2014 – Matchbox Twenty - “3AM”|271464.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90313|Gardens Inc. – From Rakes to Riches|279420.0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90314|Rocksmith® 2014 – Matchbox Twenty - “Push”|271465.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90315|Rocksmith® 2014 – Matchbox Twenty - “How Far We’ve Come”|271466.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90316|Rocksmith® 2014 – Matchbox Twenty - “She’s So Mean”|271467.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90317|Mercenary Kings|218820.0|1|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90318|Quest of Dungeons|270050.0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90319|Rocksmith® 2014 – Matchbox Twenty Song Pack|271469.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90320|Calibre 10 Racing|266370.0|1|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0
90321|Rocksmith® 2014 – Matchbox Twenty - “Unwell”|271468.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90322|Train Simulator: Dispolok BR 189 Loco Add-On|258645.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90323|Total War: ROME II - Hannibal at the Gates Campaign Pack|273380.0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90324|The Witch's Yarn|287740.0|0|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90325|Scourge: Outbreak - Blindside PvP Map pack|270650.0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90326|FaeVerse Alchemy|282880.0|0|1|1|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
90327|Black Mirror II|286460.0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90328|2014 Edition Add-on - Masters of the World DLC|278481.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90329|Abyss: The Wraiths of Eden|284710.0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90330|Marine Sharpshooter II: Jungle Warfare|283370.0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90331|Freight Tycoon Inc.|289340.0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90332|Konung 3: Ties of the Dynasty|289380.0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90333|Perimeter|289440.0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90334|The Tomorrow War|289480.0|1|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90335|El Matador|289280.0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90336|Call of Duty®: Ghosts - Zakhaev Special Character|281341.0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90337|Call of Duty®: Ghosts - Legend Pack - Makarov|281340.0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90338|Call of Duty®: Ghosts - Rorke Special Character|281342.0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90339|Actual Sunlight|288040.0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90340|Euro Truck Simulator 2 - Force of Nature Paint Jobs Pack|292320.0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90341|Marauder|289600.0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90342|Oknytt|286320.0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90343|Half Minute Hero: The Second Coming|240970.0|1|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90344|Harvester|287020.0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90345|GTGD S2: Just One Dev|292350.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0
90346|Halo: Spartan Assault|277430.0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90347|Super Motherload|269110.0|0|1|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90348|Leadwerks Game Engine - Professional Edition|287760.0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0
90349|Evolution RTS|291150.0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90350|House of 1,000 Doors: Family Secrets Collector's Edition|286500.0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90351|Motte Island|291290.0|0|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90352|Munich Bus Simulator|283560.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90353|Paper Dungeons|283040.0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90354|Rocksmith® 2014 – Bob Dylan - “Just Like a Woman”|271475.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90355|Zoom Player 13 : Steam Edition|269550.0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|1|0|0
90356|Rocksmith® 2014 – Bob Dylan - “Like a Rolling Stone”|271476.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90357|Rocksmith® 2014 – Bob Dylan - “Subterranean Homesick Blues”|271477.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90358|Smugglers 5|291450.0|0|0|1|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90359|Volt|290280.0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90360|Hive - The Ladybug|258851.0|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90361|Krita Gemini|280680.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
90362|Town Scenery Pack|256525.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90363|Platform Clutter Scenery Pack|256524.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90364|Class A1 ‘Tornado’ Ex-Works Grey Add-on Livery|256526.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90365|Class A1 'Tornado' Express Passenger Blue Add-on Livery|256527.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90366|Thompson Class B1 LNER Green Add-on Livery|256555.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90367|"F7 Southern Pacific ""Bloody Nose"" Add-on Livery"|256549.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90368|BR Class 31 Ochre Add-on Livery|256552.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90369|BR Provincial Sector Class 143 Add-on Livery|275163.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90370|BR Blue Class 08 Add-on Livery|275804.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90371|BR Green Class 08 Add-on Livery|275807.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90372|BR General Class 08 Add-on Livery|275809.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90373|Class 31 Intercity Add-on Livery|256554.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90374|Class 31 Regional Railways Add-on Livery|256532.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90375|Secrets of Rætikon|246680.0|1|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90376|Putt-Putt® and Pep's Balloon-o-Rama|284000.0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90377|Freddi Fish and Luther's Maze Madness|284020.0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90378|Putt-Putt® Joins the Parade|283920.0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90379|Secrets of Rætikon - Soundtrack|289540.0|1|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90380|Space Farmers|271570.0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90381|Pixel Puzzles: Japan|284950.0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90382|Pajama Sam: No Need to Hide When It's Dark Outside|283960.0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90383|Robin's Quest|292880.0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90384|Freddi Fish and The Case of the Missing Kelp Seeds|283940.0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90385|Heldric - The legend of the shoemaker Demo|295210.0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90386|Heldric - The legend of the shoemaker|293420.0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90387|Agarest: Generations of War Zero|260130.0|0|0|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90388|Villagers and Heroes|263540.0|0|0|1|0|0|1|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
90389|Circuits|282760.0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90390|Uprising44: The Silent Shadows|280380.0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90391|Dracula: The Resurrection|289800.0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90392|Vitrum|291270.0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90393|Vitrum Demo|294350.0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90394|Abalone|279480.0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90395|UFO: Aftermath|292160.0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90396|Konung 2|289360.0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90397|BorderZone|289220.0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90398|RC Cars|289460.0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
90399|Ascension to the Throne|289200.0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90400|Jagged Alliance 1: Gold Edition|283270.0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90401|Battle Academy - Operation Market Garden|287091.0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90402|Battle Academy - Blitzkrieg France|287090.0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90403|Battle Academy - Rommel in Normandy|287094.0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90404|Battle Academy - Fortress Metz|287095.0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90405|Battle Academy - Operation Sealion|287092.0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90406|Battle Academy - Operation Husky|287093.0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90407|FarSky|286340.0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90408|Redneck Racers|288730.0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90409|Among the Sleep Demo|285540.0|1|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90410|Warrior Kings|297570.0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90411|Rabbit Hole 3D: Steam Edition|283660.0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90412|Depths of Fear :: Knossos|252570.0|1|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90413|Spice Road|293960.0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90414|Nostradamus: The Last Prophecy|287720.0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90415|Mashed|281280.0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
90416|Vangers|264080.0|1|0|1|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
90417|Realms of the Haunting|292390.0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90418|Street Racing Syndicate|292410.0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
90419|Clockwork Tales: Of Glass and Ink|284830.0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90420|Rogue Shooter: The FPS Roguelike|295770.0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90421|Rogue Shooter: The FPS Roguelike Demo|298010.0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90422|Brigade E5: New Jagged Union|296210.0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90423|Stardust Pack|290406.0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90424|7,62 High Calibre|289890.0|0|0|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90425|Fairy Tale About Father Frost, Ivan and Nastya|289320.0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90426|Nicolas Eymerich - The Inquisitor - Book 1 : The Plague|279500.0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90427|Croixleur Sigma|250640.0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90428|Kovac’s Way DLC|289730.0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90429|F-15C for DCS World|250300.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90430|Wing IDE 5 - Commercial Use|282240.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90431|Wing IDE 5|244830.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0
90432|Black Rainbow|288500.0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90433|BloodRayne Betrayal|281220.0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90434|Serious Sam Classics: Revolution|227780.0|1|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
90435|Train Simulator: BR Class 20 Loco Add-On|222628.0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90436|Into the Dark: Ultimate Trash Edition|266050.0|1|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90437|The Final Stand|296750.0|1|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
90438|Jet Car Stunts|274880.0|0|0|1|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0
90439|Full Bore|264060.0|0|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90440|Croixleur Sigma Demo|298920.0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90441|Sweezy Gunner|295730.0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90442|You Have to Win the Game|286100.0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90443|DreadOut Demo|299130.0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90444|Outlast: Whistleblower DLC|273300.0|1|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
90445|Rocksmith® 2014 – 311 - “Down”|294907.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90446|Indie Graphics Bundle - Royalty Free Sprites|281900.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
90447|Rocksmith® 2014 – 311 - “Beautiful Disaster”|294906.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90448|Rocksmith® 2014 – 311 - “Amber”|294905.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90449|Rocksmith® 2014 – 311 Song Pack|294908.0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
90450|Warrior Kings: Battles|299070.0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
